,index,layer,chord_class,num_in_layer,count,chord_class_name,enantiomer
74,60,5,"(0, 1, 5, 7, 10)",61,12,insen_scale,"[0, 11, 7, 5, 2]"
75,59,5,"(0, 1, 5, 7, 9)",60,12,"(0, 1, 5, 7, 9)","[0, 11, 7, 5, 3]"
76,58,5,"(0, 1, 5, 6, 10)",59,12,hirajoshi_scale,"[0, 11, 7, 6, 2]"
77,57,5,"(0, 1, 4, 8, 10)",58,12,"(0, 1, 4, 8, 10)","[0, 11, 8, 4, 2]"
78,56,5,"(0, 1, 4, 7, 10)",57,12,"(0, 1, 4, 7, 10)","[0, 11, 8, 5, 2]"
79,55,5,"(0, 1, 4, 7, 9)",56,12,"(0, 1, 4, 7, 9)","[0, 11, 8, 5, 3]"
80,54,5,"(0, 1, 4, 7, 8)",55,12,"(0, 1, 4, 7, 8)",non-chiral
81,53,5,"(0, 1, 4, 6, 10)",54,12,"(0, 1, 4, 6, 10)","[0, 11, 8, 6, 2]"
82,52,5,"(0, 1, 4, 6, 9)",53,12,"(0, 1, 4, 6, 9)","[0, 11, 8, 6, 3]"
83,51,5,"(0, 1, 4, 6, 8)",52,12,"(0, 1, 4, 6, 8)","[0, 11, 8, 6, 4]"
84,50,5,"(0, 1, 4, 6, 7)",51,12,"(0, 1, 4, 6, 7)","[0, 11, 8, 6, 5]"
85,49,5,"(0, 1, 4, 5, 10)",50,12,"(0, 1, 4, 5, 10)","[0, 11, 8, 7, 2]"
86,48,5,"(0, 1, 4, 5, 9)",49,12,"(0, 1, 4, 5, 9)","[0, 11, 8, 7, 3]"
87,47,5,"(0, 1, 4, 5, 8)",48,12,"(0, 1, 4, 5, 8)","[0, 11, 8, 7, 4]"
88,46,5,"(0, 1, 3, 8, 10)",47,12,"(0, 1, 3, 8, 10)","[0, 11, 9, 4, 2]"
89,45,5,"(0, 1, 3, 8, 9)",46,12,"(0, 1, 3, 8, 9)","[0, 11, 9, 4, 3]"
90,44,5,"(0, 1, 3, 7, 10)",45,12,"(0, 1, 3, 7, 10)","[0, 11, 9, 5, 2]"
91,43,5,"(0, 1, 3, 7, 9)",44,12,"(0, 1, 3, 7, 9)","[0, 11, 9, 5, 3]"
92,42,5,"(0, 1, 3, 7, 8)",43,12,"(0, 1, 3, 7, 8)",hirajoshi_scale
93,41,5,"(0, 1, 3, 6, 10)",42,12,"(0, 1, 3, 6, 10)","[0, 11, 9, 6, 2]"
94,40,5,"(0, 1, 3, 6, 9)",41,12,"(0, 1, 3, 6, 9)","[0, 11, 9, 6, 3]"
95,39,5,"(0, 1, 3, 6, 8)",40,12,"(0, 1, 3, 6, 8)",insen_scale
96,38,5,"(0, 1, 3, 6, 7)",39,12,"(0, 1, 3, 6, 7)","[0, 11, 9, 6, 5]"
97,37,5,"(0, 1, 3, 5, 10)",38,12,"(0, 1, 3, 5, 10)","[0, 11, 9, 7, 2]"
98,36,5,"(0, 1, 3, 5, 9)",37,12,"(0, 1, 3, 5, 9)","[0, 11, 9, 7, 3]"
99,35,5,"(0, 1, 3, 5, 8)",36,12,"(0, 1, 3, 5, 8)",minor_ninth
100,34,5,"(0, 1, 3, 5, 7)",35,12,"(0, 1, 3, 5, 7)","[0, 11, 9, 7, 5]"
